Từ vựng,Nghĩa(VN)
ゴシック体の活字,chữ kiểu in đậm
ロゴ,logo
書体, phông chữ
板,bảng
看板,bảng
この時勢,thời điểm này
単刀直入, nói thẳng ra
そうするとこの場で決められる。,nếu được thì có thế chốt ngay bây giờ
考えらないこともない,có thể cân nhắc
ネックになる,khó khăn
単価,giá một sản phậm
もう一度社でその辺所を検討して参ります。,
お返事させていただくのはそれからということでよろしいでしょうか,
実は他からいろいろ話が来てましてね。中にはお宅より２０％以上やすいのもあるんですよ。まあ、そこまで言いませんがもう過ごしなんとかなりませんか。,
私どもいたしましても,
キーパーソン, người thẻn chốt
要,"chủ chốt, quan trọng"
経営の要,"  át chủ chốt, chìa khoá"
 保養所,  át chủ chốt
おたく, phía cty đối tác
フル稼働, chạy hết công suất
ご猶予をいただけないかと, cho tôi hoãn lại ít được ko
支障をきたす, gây cản trở
売掛金, số tiền đòi đã bán chịu cho
途中採用, tuyển vào ngang chừng
利回り,tiền lãi do mình bỏ vốn ra
利率　,  tỷ lệ lãi suất
単身赴任,
シニア,ng già
ジュニア,nguời trẻ
ワンパック, 1 gói
飛び回る,"bận rộn ,chạy đâu chạy đó"
健康食品,thực phẩm chức năng
オーダーメイド, order theo đơn
ラインアップ, chọn lọc
少し先, phía trước 1 tý
中間計算, thanh toán quyết toán tháng quý thứ 2
団塊世代, thế hệ bùng nổ dân số
取り寄せる, đặt hàng đến nhà
取り返す,"cứu vã, xoay sở"
送付状, tờ giấy liệt kê những giấy tờ gửi bên trong
下げ幅, biên độ giảm
初稿, bản in lần đầu
クエスチョンマーク, dấu chấm hỏi
持ち越す,"trì hoãn, lùi lại"
切り上げる, dừng
前倒す, đẩy thực hiện sớm hơn
位置付け," vai trò, vị trí, xu hướng"
商品の位置付け,"đánh gái xu hướng, vị trí"
待ったが掛かる,cấp trên đưa ra mệnh lệnh dừng lại
発信元, nguồn phát hành
納品書, phiếu giao hàng
売り込む,"tiếp thị sản phẩm , bán số lượng lớn"
フェアに出る,bán ra hội chợ
2の足を踏む,"lưỡng lự, chần chừ"
手もあります,có những cách này
知名度が低い,ít được biết đến
足で稼ぐ,đến gặp khách hàng tiếp thị
小売店を回る,đến cửa hàng đại lý bán lẻ
自信作,sản phẩm tự tin của cty
相見積もりを取る,lấy báo gia từ các bên
５社候補を選ぶ,chọn cty ứng cử
浦島太郎になったような気がします。, khách xưa nhiều
粉骨砕身,tan sương nát thịt
粉骨砕身して頑張る, cố gắng hết sức mình
好意, ưu ái
個別ミーティング,nói chuyện riêng
一対一でじっくり話す,nói chuyện riêng
受注,nhận đơn 
体裁, hình thức
ポテンシャルがありそうなんです,tiềm năng
ポテンシャル,tiềm năng
打ち上げ, liên hoan
幹事をやる,tổ chức
盛大にやる,tổ chức hoành tráng
乾杯の音頭,hô nhịp chúc mừng
顔をたてる,nể mặt
立役者, người đóng vai trò quan trọng
年功序列, người lão lãng thì lên trước
思い切って少し下げる, cố gắng gỉam thêm chút nữa
騒動。騒音。,
気を引き締める," nghiêm túc, tập trung"
回覧, thông báo
害虫駆除,diệt côn trùng
ゴキブリ胎児,diệt dán
こっちの島, góc làm việc này
消費が冷え込む,tiêu dùng đóng băng
耐久性, độ bền
セールポイント, điểm lợi thế bán hàng
長持ちする, dùng bền 
取り込む,bận
段取り, các bước tiến hàh
出願,đơn
二本立て,chọn hai phương án
比率が伸びる,phát triển
直行する,đến trực tiếp
場合によっては。。。かも,tuỳ trường hợp
他社に先駆けして,đi trước
予測背景,dự đoán thị trường
刺身に目がない, rất thích
日本通の方, thông thạo nhật bản
カジュアルなお店, nhà hàng bình dân
日用品, sản phẩm hăng ngày
侮れない　あなどれない, tinh tế
避けて通れない," ko thể trách khỏi, phải làm"
初っ端　しょっぱら, bắt đầu
学校出たての学生,mới ra trường
入社早々　にゅうしゃそうそう, mới vào cty
短期融資,vay ngắn hạn
短期貸し借り,vay ngắn hạn
手を打とう」, chốt đơn
スポットを当てる, nhắm đến điểm
近場,
主力に入れる,
査収, kiểm trảm xem xét lại
厭わない," ko tiếc, sẵn lòng"
人からならぬ, đặc biệt
人からならぬおせわになりました。, quan tâm đặc biệt
機材スペース,nơi để máy móc
デスクトップ,màn hình máy tính
貸付, đặt cọc
用意周到, cb kỹ lưỡng
メンテナンス,"bảo dưỡng, bảo hành"
外壁の塗装　（がいへきのとそう）,sơn lại
アフターサービス,dịch vụ hẫu mãi
聞き耳を持たず,ko chịu nghe
拒否感,từ chối
生き残れない, ko tồn tài 
詰め替え,"thay thế, thay lõi "
主力製品,sp. then chốt
お客様のお金を落とす, tiêu tiền
翌年,năm sau
昨年,năm ngoái
原点に立ち返る,quay về điềm cơ bản
重点を置く,"để tâm , tập trung"
形にする,"hình thành , hòan thành"
長い目で,nhìn xa
右肩上がり,tăng lên chóng mặt
統廃合（とうはいごう）,hợp sức
買い控え（かいびかえ）,hạn chế mua
作り置き,làm sẵn
薄利多売（はくりたばい）,bán rẻ lợi nhuận thấp
主眼を置く," để tâm , tập trung"
プロフェッショナル, chuyên nghiệp
